[2019-03-17 09:32:23,495] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "karyadi", "password": "123456"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTI3ODk5NDMsIm5iZiI6MTU1Mjc4OTk0MywianRpIjoiMjAzZDIwZTMtZTkzMi00MjA4LWE2MTgtYTk2YjYxYWMzMDE0IiwiZXhwIjoxNTUyODc2MzQzLCJpZGVudGl0eSI6eyJpZCI6MSwidXNlcm5hbWUiOiJrYXJ5YWRpIiwicGFzc3dvcmQiOiIxMjM0NTYiLCJzdGF0dXMiOiJ1c2VyIn0sImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImlkIjoxLCJ1c2VybmFtZSI6ImthcnlhZGkiLCJwYXNzd29yZCI6IjEyMzQ1NiIsInN0YXR1cyI6InVzZXIifX0.Vs10rKmkifUZoEb6wjDSby6zlGejT3fSizz7CLYWP9M"}}
[2019-03-17 09:32:43,239] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "chusna", "password": "123456"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTI3ODk5NjMsIm5iZiI6MTU1Mjc4OTk2MywianRpIjoiZTYwYjMxMTYtMWNlZS00NzQ4LThhYWUtZGQ3ODA1MjJiZjc0IiwiZXhwIjoxNTUyODc2MzYzLCJpZGVudGl0eSI6eyJpZCI6MiwidXNlcm5hbWUiOiJjaHVzbmEiLCJwYXNzd29yZCI6IjEyMzQ1NiIsInN0YXR1cyI6ImNsaWVudCJ9LCJmcmVzaCI6ZmFsc2UsInR5cGUiOiJhY2Nlc3MiLCJ1c2VyX2NsYWltcyI6eyJpZCI6MiwidXNlcm5hbWUiOiJjaHVzbmEiLCJwYXNzd29yZCI6IjEyMzQ1NiIsInN0YXR1cyI6ImNsaWVudCJ9fQ.MP_-mT25Ce-_kiw9ha8YQcfvY-hiJg8Sy_SmFZcwKLk"}}
[2019-03-17 09:32:51,637] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "eka", "password": "123456"}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
[2019-03-17 09:33:01,600] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "prima", "password": "123456"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTI3ODk5ODEsIm5iZiI6MTU1Mjc4OTk4MSwianRpIjoiM2I2ZWQxNWMtNDQxMC00ZjVkLWFhY2UtYWNmOWQ5ZjIxNzdjIiwiZXhwIjoxNTUyODc2MzgxLCJpZGVudGl0eSI6eyJpZCI6MywidXNlcm5hbWUiOiJwcmltYSIsInBhc3N3b3JkIjoiMTIzNDU2Iiwic3RhdHVzIjoiYWRtaW4ifSwiZnJlc2giOmZhbHNlLCJ0eXBlIjoiYWNjZXNzIiwidXNlcl9jbGFpbXMiOnsiaWQiOjMsInVzZXJuYW1lIjoicHJpbWEiLCJwYXNzd29yZCI6IjEyMzQ1NiIsInN0YXR1cyI6ImFkbWluIn19.bA1YeqUJT4pGlCWbqBonVBEk4ppOqB67LipE5mi056Y"}}
[2019-03-17 09:33:10,194] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "prima", "password": "12456"}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
[2019-03-17 09:36:15,256] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "karyadi", "password": "123456"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTI3OTAxNzUsIm5iZiI6MTU1Mjc5MDE3NSwianRpIjoiZDllZGE3NGMtNDAwYy00YjBjLTkxZGItNDE4ZGE1YzAwYTgxIiwiZXhwIjoxNTUyODc2NTc1LCJpZGVudGl0eSI6eyJpZCI6MSwidXNlcm5hbWUiOiJrYXJ5YWRpIiwicGFzc3dvcmQiOiIxMjM0NTYiLCJzdGF0dXMiOiJ1c2VyIn0sImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImlkIjoxLCJ1c2VybmFtZSI6ImthcnlhZGkiLCJwYXNzd29yZCI6IjEyMzQ1NiIsInN0YXR1cyI6InVzZXIifX0.IMQ_fcvNrBefZ8q4vwO0AhkWFB5gUKJNp2Lo5Xo5CZ0"}}
[2019-03-17 09:37:25,328] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {}, "response": {"id": 1, "username": "karyadi", "password": "123456", "status": "user"}}
[2019-03-17 09:37:59,637] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {}, "response": {"msg": "Invalid header string: 'utf-8' codec can't decode byte 0x8e in position 5: invalid start byte"}}
[2019-03-17 09:39:06,673] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {}, "response": {"id": 1, "username": "karyadi", "password": "123456", "status": "user"}}
[2019-03-17 09:39:37,254] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "karyadi", "password": "123456"}, "response": {"token": "eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE1NTI3OTAzNzcsIm5iZiI6MTU1Mjc5MDM3NywianRpIjoiZjBjOGM2NjgtODZhZS00Y2E3LWE4ODItOTAzMGFkZTBmNDZjIiwiZXhwIjoxNTUyODc2Nzc3LCJpZGVudGl0eSI6eyJpZCI6MSwidXNlcm5hbWUiOiJrYXJ5YWRpIiwicGFzc3dvcmQiOiIxMjM0NTYiLCJzdGF0dXMiOiJ1c2VyIn0sImZyZXNoIjpmYWxzZSwidHlwZSI6ImFjY2VzcyIsInVzZXJfY2xhaW1zIjp7ImlkIjoxLCJ1c2VybmFtZSI6ImthcnlhZGkiLCJwYXNzd29yZCI6IjEyMzQ1NiIsInN0YXR1cyI6InVzZXIifX0.bLvZdCqq0gJ64oO4wJlqaqFvT_I1wQgWXtEHab45hdQ"}}
[2019-03-17 09:39:43,212] {/home/alphatech/Documents/weekend-project/rest-api/blueprints/__init__.py:35} WARNING - REQUEST LOG	GET {"request": {"username": "karadi", "password": "123456"}, "response": {"status": "UNAUTHORIZED", "message": "invalid key or secret"}}
